"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.03.2026","1.769,03","1.731,76","1.789,00","1.727,00","520,95K","3,21%"
"03.03.2026","1.714,01","1.688,88","1.721,96","1.660,20","977,64K","-3,54%"
"02.03.2026","1.777,00","1.700,15","1.780,00","1.682,12","818,93K","1,10%"
"27.02.2026","1.757,58","1.739,37","1.775,98","1.721,41","792,93K","0,96%"
"26.02.2026","1.740,88","1.791,00","1.796,00","1.731,26","1,09M","-1,52%"
"25.02.2026","1.767,71","1.760,12","1.781,48","1.654,24","2,38M","-8,05%"
"24.02.2026","1.922,56","1.885,00","1.928,96","1.857,12","900,84K","3,12%"
"23.02.2026","1.864,46","1.995,35","2.008,19","1.848,91","757,87K","-6,63%"
"20.02.2026","1.996,87","1.986,01","2.020,55","1.964,87","361,11K","0,02%"
"19.02.2026","1.996,55","2.009,08","2.025,39","1.990,18","284,68K","-0,62%"
"18.02.2026","2.009,05","1.988,20","2.047,87","1.976,00","328,07K","1,70%"
"17.02.2026","1.975,51","1.975,39","2.006,66","1.931,12","425,71K","-0,64%"
"13.02.2026","1.988,26","1.990,26","2.006,32","1.963,47","425,77K","-0,93%"
"12.02.2026","2.007,00","2.092,62","2.113,90","1.997,00","584,40K","-0,55%"
"11.02.2026","2.018,18","2.053,23","2.060,00","1.972,00","471,00K","-0,35%"
"10.02.2026","2.025,32","2.035,18","2.082,09","2.012,33","545,65K","-0,50%"
"09.02.2026","2.035,59","1.984,02","2.037,02","1.958,88","546,63K","3,32%"
"06.02.2026","1.970,15","2.042,43","2.042,43","1.913,00","938,14K","-3,18%"
"05.02.2026","2.034,76","2.066,02","2.094,09","2.024,14","519,06K","-0,88%"
"04.02.2026","2.052,78","2.085,31","2.090,26","1.985,34","766,90K","-2,24%"
"03.02.2026","2.099,90","2.145,00","2.158,26","2.065,64","502,04K","-2,20%"
"02.02.2026","2.147,22","2.134,51","2.184,90","2.112,28","342,20K","-0,03%"
"30.01.2026","2.147,79","2.200,00","2.226,68","2.129,00","558,65K","-3,17%"
"29.01.2026","2.218,14","2.268,98","2.292,34","2.209,93","418,73K","-2,22%"
"28.01.2026","2.268,60","2.303,91","2.342,00","2.266,35","486,22K","-1,15%"
"27.01.2026","2.295,00","2.222,00","2.302,46","2.205,00","569,69K","3,72%"
"26.01.2026","2.212,62","2.131,47","2.241,99","2.127,97","539,45K","3,52%"
"23.01.2026","2.137,29","2.145,00","2.153,46","2.100,31","467,18K","-0,76%"
"22.01.2026","2.153,75","2.113,41","2.166,00","2.111,01","872,95K","4,66%"
"21.01.2026","2.057,77","2.045,00","2.093,51","2.032,01","943,09K","1,13%"
"20.01.2026","2.034,82","2.049,04","2.110,36","2.028,21","536,21K","-1,94%"
"16.01.2026","2.075,01","2.104,74","2.110,04","2.061,62","547,10K","-1,14%"
"15.01.2026","2.098,85","2.137,12","2.151,46","2.084,61","425,23K","-0,15%"
"14.01.2026","2.101,95","2.055,70","2.108,00","2.041,02","500,45K","1,37%"
"13.01.2026","2.073,57","2.127,21","2.130,15","2.030,91","690,14K","-3,55%"
"12.01.2026","2.149,90","2.164,27","2.165,02","2.122,57","408,56K","-1,31%"
"09.01.2026","2.178,41","2.191,50","2.193,06","2.162,00","309,30K","-0,06%"
"08.01.2026","2.179,80","2.176,70","2.200,70","2.160,02","340,77K","0,79%"
"07.01.2026","2.162,61","2.187,04","2.188,49","2.130,00","383,33K","-1,12%"
"06.01.2026","2.187,04","2.142,17","2.239,95","2.138,00","689,43K","1,79%"
"05.01.2026","2.148,62","2.011,94","2.211,93","2.010,89","1,07M","8,86%"
"02.01.2026","1.973,70","2.027,55","2.035,00","1.968,88","502,48K","-2,01%"
"31.12.2025","2.014,26","2.014,56","2.027,73","2.007,50","199,74K","-0,33%"
"30.12.2025","2.020,88","2.014,92","2.025,19","1.997,06","294,17K","0,29%"
"29.12.2025","2.014,97","1.995,00","2.039,76","1.986,00","276,10K","0,46%"
"26.12.2025","2.005,71","1.998,08","2.012,00","1.994,01","192,54K","0,38%"
"24.12.2025","1.998,21","1.996,00","2.008,17","1.982,12","98,15K","0,16%"
"23.12.2025","1.995,07","1.995,00","2.006,66","1.974,00","254,28K","0,07%"
"22.12.2025","1.993,65","2.009,88","2.013,00","1.960,03","311,11K","-0,20%"
"19.12.2025","1.997,61","1.969,83","2.014,46","1.962,00","737,89K","1,69%"
"18.12.2025","1.964,46","1.932,49","1.983,22","1.932,49","686,12K","2,51%"
"17.12.2025","1.916,28","1.943,69","1.956,05","1.901,83","687,55K","-0,90%"
"16.12.2025","1.933,72","1.964,44","1.974,30","1.906,18","908,31K","-1,68%"
"15.12.2025","1.966,76","2.028,86","2.028,86","1.955,11","487,08K","-2,44%"
"12.12.2025","2.015,89","2.014,65","2.050,49","2.005,00","401,37K","-0,19%"
"11.12.2025","2.019,81","1.978,41","2.042,05","1.969,69","522,75K","2,49%"
"10.12.2025","1.970,73","2.031,01","2.037,50","1.957,00","1,17M","-5,00%"
"09.12.2025","2.074,48","2.072,05","2.091,99","2.044,59","418,18K","-0,66%"
"08.12.2025","2.088,36","2.087,08","2.121,42","2.075,00","361,38K","1,06%"
"05.12.2025","2.066,42","2.145,49","2.163,00","2.051,04","668,87K","-3,42%"
"04.12.2025","2.139,56","2.128,51","2.151,33","2.079,08","443,09K","0,93%"
"03.12.2025","2.119,83","2.117,00","2.151,63","2.102,56","383,79K","0,19%"
"02.12.2025","2.115,91","2.067,75","2.153,75","2.066,01","616,37K","2,49%"
"01.12.2025","2.064,55","2.060,00","2.084,88","2.035,39","538,71K","-0,35%"
"28.11.2025","2.071,78","2.075,38","2.090,86","2.050,00","248,71K","1,89%"
"26.11.2025","2.033,32","2.077,44","2.079,97","2.026,00","378,11K","-1,05%"
"25.11.2025","2.055,00","2.000,67","2.059,94","1.990,56","524,78K","2,29%"
"24.11.2025","2.008,92","1.970,00","2.011,00","1.935,09","870,21K","2,93%"
"21.11.2025","1.951,78","1.903,62","1.966,74","1.901,00","816,08K","2,74%"
"20.11.2025","1.899,75","2.105,30","2.108,00","1.897,18","1,20M","-8,54%"
"19.11.2025","2.077,18","2.065,00","2.095,67","2.054,17","428,86K","0,89%"
"18.11.2025","2.058,81","2.051,10","2.084,13","2.035,61","380,03K","0,05%"
"17.11.2025","2.057,72","2.055,00","2.074,19","2.038,00","375,25K","0,43%"
"14.11.2025","2.048,89","2.030,15","2.049,55","1.990,55","600,89K","0,88%"
"13.11.2025","2.031,05","2.084,51","2.100,00","2.017,88","700,92K","-3,46%"
"12.11.2025","2.103,91","2.141,56","2.143,44","2.094,66","406,03K","0,21%"
"11.11.2025","2.099,57","2.086,16","2.124,50","2.070,00","395,27K","0,36%"
"10.11.2025","2.092,04","2.127,15","2.131,56","2.049,43","823,97K","-0,79%"
"07.11.2025","2.108,60","2.120,00","2.122,00","2.078,36","655,94K","-0,93%"
"06.11.2025","2.128,33","2.274,12","2.276,91","2.121,78","742,55K","-7,54%"
"05.11.2025","2.301,88","2.295,00","2.320,00","2.233,42","464,51K","-0,17%"
"04.11.2025","2.305,69","2.300,00","2.372,79","2.270,00","383,69K","-0,46%"
"03.11.2025","2.316,40","2.331,20","2.387,55","2.289,00","497,48K","-0,47%"
"31.10.2025","2.327,26","2.375,00","2.419,78","2.308,00","754,77K","-1,42%"
"30.10.2025","2.360,76","2.210,55","2.428,00","2.210,00","892,73K","2,82%"
"29.10.2025","2.295,92","2.283,42","2.319,28","2.251,00","545,82K","0,25%"
"28.10.2025","2.290,14","2.290,54","2.298,05","2.250,05","385,60K","0,34%"
"27.10.2025","2.282,32","2.300,00","2.304,09","2.220,00","640,43K","5,61%"
"24.10.2025","2.161,11","2.171,82","2.185,00","2.140,02","367,72K","0,60%"
"23.10.2025","2.148,32","2.108,69","2.149,98","2.095,00","296,39K","2,53%"
"22.10.2025","2.095,21","2.129,56","2.131,44","2.088,45","283,28K","-2,19%"
"21.10.2025","2.142,05","2.105,00","2.163,24","2.096,00","349,42K","1,90%"
"20.10.2025","2.102,11","2.039,73","2.105,00","2.033,09","361,25K","3,81%"
