"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2026","1,922.56","1,885.00","1,928.96","1,857.12","900.84K","3.12%"
"02/23/2026","1,864.46","1,995.35","2,008.19","1,848.91","757.87K","-6.63%"
"02/20/2026","1,996.87","1,986.01","2,020.55","1,964.87","361.11K","0.02%"
"02/19/2026","1,996.55","2,009.08","2,025.39","1,990.18","284.68K","-0.62%"
"02/18/2026","2,009.05","1,988.20","2,047.87","1,976.00","328.07K","1.70%"
"02/17/2026","1,975.51","1,975.39","2,006.66","1,931.12","425.71K","-0.64%"
"02/13/2026","1,988.26","1,990.26","2,006.32","1,963.47","425.77K","-0.93%"
"02/12/2026","2,007.00","2,092.62","2,113.90","1,997.00","584.40K","-0.55%"
"02/11/2026","2,018.18","2,053.23","2,060.00","1,972.00","471.00K","-0.35%"
"02/10/2026","2,025.32","2,035.18","2,082.09","2,012.33","545.65K","-0.50%"
"02/09/2026","2,035.59","1,984.02","2,037.02","1,958.88","546.63K","3.32%"
"02/06/2026","1,970.15","2,042.43","2,042.43","1,913.00","938.14K","-3.18%"
"02/05/2026","2,034.76","2,066.02","2,094.09","2,024.14","519.06K","-0.88%"
"02/04/2026","2,052.78","2,085.31","2,090.26","1,985.34","766.90K","-2.24%"
"02/03/2026","2,099.90","2,145.00","2,158.26","2,065.64","502.04K","-2.20%"
"02/02/2026","2,147.22","2,134.51","2,184.90","2,112.28","342.20K","-0.03%"
"01/30/2026","2,147.79","2,200.00","2,226.68","2,129.00","558.65K","-3.17%"
"01/29/2026","2,218.14","2,268.98","2,292.34","2,209.93","418.73K","-2.22%"
"01/28/2026","2,268.60","2,303.91","2,342.00","2,266.35","486.22K","-1.15%"
"01/27/2026","2,295.00","2,222.00","2,302.46","2,205.00","569.69K","3.72%"
"01/26/2026","2,212.62","2,131.47","2,241.99","2,127.97","539.45K","3.52%"
"01/23/2026","2,137.29","2,145.00","2,153.46","2,100.31","467.18K","-0.76%"
"01/22/2026","2,153.75","2,113.41","2,166.00","2,111.01","872.95K","4.66%"
"01/21/2026","2,057.77","2,045.00","2,093.51","2,032.01","943.09K","1.13%"
"01/20/2026","2,034.82","2,049.04","2,110.36","2,028.21","536.21K","-1.94%"
"01/16/2026","2,075.01","2,104.74","2,110.04","2,061.62","547.10K","-1.14%"
"01/15/2026","2,098.85","2,137.12","2,151.46","2,084.61","425.23K","-0.15%"
"01/14/2026","2,101.95","2,055.70","2,108.00","2,041.02","500.45K","1.37%"
"01/13/2026","2,073.57","2,127.21","2,130.15","2,030.91","690.14K","-3.55%"
"01/12/2026","2,149.90","2,164.27","2,165.02","2,122.57","408.56K","-1.31%"
"01/09/2026","2,178.41","2,191.50","2,193.06","2,162.00","309.30K","-0.06%"
"01/08/2026","2,179.80","2,176.70","2,200.70","2,160.02","340.77K","0.79%"
"01/07/2026","2,162.61","2,187.04","2,188.49","2,130.00","383.33K","-1.12%"
"01/06/2026","2,187.04","2,142.17","2,239.95","2,138.00","689.43K","1.79%"
"01/05/2026","2,148.62","2,011.94","2,211.93","2,010.89","1.07M","8.86%"
